id;start_date;end_date;language
1;2020-09-14T22:21:19;2020-09-14T20:11:34;SPANISH
2;2020-09-14T03:11:30;2020-09-14T22:15:55;SPANISH
3;2020-09-14T18:06:49;2020-09-14T04:40:58;FRENCH
4;2020-09-14T09:24:20;2020-09-14T20:55:46;FRENCH
5;2020-09-14T18:54:38;2020-09-14T23:41:37;FRENCH
6;2020-09-14T12:46:59;2020-09-15T00:55:13;FRENCH
7;2020-09-14T14:32:19;2020-09-14T08:23:10;FRENCH
8;2020-09-14T13:28:32;2020-09-14T23:44:40;SPANISH
9;2020-09-14T12:09:41;2020-09-14T08:51:04;SPANISH
10;2020-09-14T20:21:45;2020-09-14T06:56:15;SPANISH
